Panelist ID,Panelist Type,Combined Pre-Tax Income of HH,Family Size,HH_RACE,Type of Residential Possession,COUNTY,HH_AGE,HH_EDU,HH_OCC,Age Group Applied to Male HH,Education Level Reached by Male HH,Occupation Code of Male HH,Male Working Hour Code,MALE_SMOKE,Age Group Applied to Female HH,Education Level Reached by Female HH,Occupation Code of Female HH,Female Working Hour Code,FEM_SMOKE,Number of Dogs,Number of Cats,Children Group Code,Marital Status,Language,Number of TVs Used by HH,Number of TVs Hooked to Cable,Year,HISP_FLAG,HISP_CAT,HH Head Race (RACE2),HH Head Race (RACE3),Microwave Owned by HH,ZIPCODE,FIPSCODE,market based upon zipcode,IRI Geography Number,EXT_FACT
3133702,5,6,2,1,2,C,5,6,10,5,4,3,3,0,5,6,10,4,1,0,0,8,2,.,1,1,3,0,.,7,7,1,54703,55017,3,3,1
3133728,6,3,1,1,1,D,6,6,10,7,9,11,7,.,6,6,10,4,0,0,0,8,4,.,1,1,3,0,.,1,1,1,54701,55033,3,3,1
3133850,6,10,4,1,2,D,3,7,13,3,7,1,3,0,3,7,13,5,0,0,1,6,2,.,4,4,3,0,.,1,1,1,54701,55033,3,3,1
3133892,6,9,2,1,2,D,6,5,10,6,5,10,4,0,6,5,10,4,0,0,0,8,2,.,2,2,3,0,.,1,1,1,54701,55033,3,3,1
3133926,6,10,2,1,2,C,6,8,1,7,9,11,7,.,6,8,1,2,.,2,0,8,3,.,2,2,3,0,.,1,1,1,54703,55017,3,3,1
3133942,6,11,2,1,2,C,4,7,1,6,4,13,6,0,4,7,1,3,0,0,1,8,2,.,2,2,3,0,.,1,1,1,54720,55035,3,3,1
3133975,6,8,2,1,2,C,6,7,10,6,5,10,4,0,6,7,10,4,0,0,0,8,2,.,2,2,3,0,.,1,1,1,54703,55017,3,3,1
3134031,6,10,2,1,2,C,6,6,10,6,4,10,4,.,6,6,10,4,0,1,0,8,2,.,4,3,3,0,.,1,1,1,54703,55017,3,3,1
3134072,6,4,1,1,2,D,6,4,1,7,9,11,7,.,6,4,1,2,0,1,0,8,4,.,1,1,3,0,.,1,1,1,54701,55033,3,3,1
3134098,5,6,4,1,2,D,4,5,8,4,4,7,2,1,4,5,8,2,1,0,2,6,1,.,3,2,3,0,.,1,1,1,54701,55033,3,3,1
3134296,6,6,2,1,1,C,5,6,6,4,4,6,3,1,5,6,6,3,0,0,0,8,2,.,2,2,3,0,.,1,1,1,54703,55017,3,3,1
3134320,6,5,2,1,1,C,4,5,2,7,9,11,7,.,4,5,2,3,0,0,0,8,3,.,2,2,3,0,.,1,1,1,54703,55017,3,3,1
3134338,6,5,1,1,2,C,6,4,10,6,4,10,4,0,7,9,11,7,.,0,0,8,4,.,1,1,3,0,.,1,1,1,54703,55017,3,3,1
3134361,6,11,2,1,2,D,6,4,10,6,6,7,2,0,6,4,10,4,0,0,0,8,2,.,2,2,3,0,.,1,1,1,54701,55033,3,3,1
3134395,5,7,2,1,2,C,6,4,10,6,5,10,4,0,6,4,10,4,0,0,0,8,2,.,3,3,3,0,.,1,1,1,54703,55017,3,3,1
3134403,6,11,2,1,2,D,4,7,1,4,8,2,3,0,4,7,1,2,0,0,0,8,2,.,2,2,3,0,.,1,1,1,54701,55033,3,3,1
3134445,6,3,1,1,1,D,6,2,10,7,9,11,7,.,6,2,10,4,0,0,0,8,4,.,2,2,3,0,.,1,1,1,54701,55033,3,3,1
3134452,6,5,2,1,2,C,6,4,10,6,5,10,4,0,6,4,10,4,0,2,0,8,2,.,2,2,3,0,.,1,1,1,54703,55017,3,3,1
3134577,5,3,2,1,1,C,6,5,10,6,6,10,4,0,6,5,10,4,0,0,0,8,2,.,2,2,3,0,.,1,1,1,54729,55017,3,3,1
3134601,6,11,2,1,2,D,6,7,10,6,6,10,4,0,6,7,10,4,0,0,0,8,2,.,4,4,3,0,.,1,1,1,54701,55033,3,3,1
3134627,6,3,1,1,1,D,6,6,10,7,9,11,7,.,6,6,10,4,0,0,0,8,4,.,3,3,3,0,.,1,1,1,54701,55033,3,3,1
3134650,6,9,5,1,2,D,4,7,13,4,7,2,3,0,4,7,13,1,0,1,0,3,2,.,4,4,3,0,.,1,1,1,54701,55033,3,3,1
3134668,5,11,2,1,2,D,5,4,10,6,4,3,2,0,5,4,10,4,0,0,0,8,2,.,2,2,3,0,.,1,1,1,54701,55033,3,3,1
3134684,5,4,2,1,1,C,4,4,13,4,4,13,1,0,4,4,13,1,0,0,2,8,3,.,1,1,3,0,.,1,1,1,54703,55017,3,3,1
3134700,6,6,1,1,2,C,6,7,4,7,9,11,7,.,6,7,4,2,0,0,0,8,2,.,3,3,3,0,.,1,1,1,54720,55035,3,3,1
3134734,5,3,1,1,2,C,6,4,10,7,9,11,7,.,6,4,10,4,0,0,0,8,3,.,3,2,3,0,.,1,1,1,54720,55035,3,3,1
3134742,6,10,2,1,2,D,3,7,1,3,7,1,3,0,3,7,1,2,0,0,0,8,2,.,4,2,3,0,.,1,1,1,54738,55011,3,3,1
