IRI_KEY,OU,EST_ACV,Market_Name,Open,Clsd,MskdName
237117,GR,19.26599,WEST TEX/NEW MEX,890,1145,Chain39
237196,DR,2.522999,NEW YORK,986,9998,Chain25
237277,GR,26.03099,ST. LOUIS,435,9998,Chain32
237350,GR,32.69098,SAN DIEGO,1142,9998,Chain124
237368,GR,12.058,BIRMINGHAM/MONTG.,913,1339,Chain20
237386,GR,30.56898,NEW YORK,1119,1119,Chain114
237464,GR,14.49799,SAN DIEGO,1099,1230,Chain113
237476,GR,12.479,SEATTLE/TACOMA,842,9998,Chain92
237573,GR,6.688,GREEN BAY,447,9998,Chain108
237593,GR,19.26599,SOUTH CAROLINA,891,1353,Chain130
237815,GR,27.15799,SAN FRANCISCO,1039,1422,Chain98
237824,GR,13.128,SAN FRANCISCO,435,9998,Chain7
237976,GR,25.84698,"PROVIDENCE,RI",435,9998,Chain114
238022,GR,21.778,DETROIT,480,9998,Chain58
238131,GR,16.63799,SAN FRANCISCO,561,9998,Chain98
238254,GR,11.03999,RICHMOND/NORFOLK,919,9998,Chain36
238447,GR,17.765,"DALLAS, TX",693,9998,Chain24
238456,GR,17.946,"WASHINGTON, DC",435,1114,Chain101
238476,GR,19.26599,TOLEDO,436,9998,Chain109
238481,GR,19.937,"DALLAS, TX",435,1202,Chain64
238482,GR,36.198,PHILADELPHIA,435,9998,Chain89
238522,GR,15.91299,HARTFORD,754,1368,Chain15
238621,GR,13.66299,"DALLAS, TX",777,9998,Chain17
238684,GR,17.198,"WASHINGTON, DC",494,1132,Chain10
238729,GR,9.195999,BIRMINGHAM/MONTG.,904,1424,Chain20
238732,GR,21.183,PEORIA/SPRINGFLD.,1144,9998,Chain59
238854,GR,23.58699,PEORIA/SPRINGFLD.,548,1421,Chain59
238896,GR,14.76099,HOUSTON,435,9998,Chain95
238945,GR,27.95699,HARTFORD,795,9998,Chain15
239012,GR,16.689,"WASHINGTON, DC",435,9998,Chain101
239034,GR,20.91499,LOS ANGELES,435,1388,Chain94
239081,GR,33.93698,LOS ANGELES,547,1329,Chain94
239121,GR,26.10999,TOLEDO,1141,9998,Chain57
239248,GR,16.198,SOUTH CAROLINA,592,9998,Chain16
239250,GR,20.01999,SYRACUSE,435,1210,Chain122
239299,GR,20.73999,LOS ANGELES,873,1198,Chain124
239313,GR,19.26599,BIRMINGHAM/MONTG.,567,1114,Chain74
239359,GR,19.26599,"DALLAS, TX",943,1190,Chain128
239502,GR,53.80499,SEATTLE/TACOMA,842,1198,Chain79
239590,GR,18.93799,LOS ANGELES,435,9998,Chain94
239593,GR,12.383,INDIANAPOLIS,435,9998,Chain78
239622,GR,19.69699,SAN DIEGO,629,9998,Chain5
239682,GR,27.896,LOS ANGELES,977,9998,Chain124
239734,GR,14.69199,OMAHA,526,1305,Chain6
239777,GR,10.82,"NEW ORLEANS, LA",649,1206,Chain10
239796,GR,16.853,"PORTLAND,OR",435,1178,Chain120
239874,GR,11.321,ATLANTA,435,1215,Chain16
239919,GR,21.403,"PORTLAND,OR",435,9998,Chain120
239923,GR,23.724,ATLANTA,575,1182,Chain69
239927,GR,16.69699,BUFFALO/ROCHESTER,824,9998,Chain122
239983,GR,9.602997,SYRACUSE,626,1127,Chain87
239992,GR,20.43199,BUFFALO/ROCHESTER,435,9998,Chain122
240008,GR,21.286,HOUSTON,435,9998,Chain95
240028,GR,42.57498,NEW ENGLAND,488,9998,Chain30
240042,GR,41.55099,HOUSTON,733,1257,Chain49
